,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,28.229244232177734,18.667499542236328,36.63404083251953,60.281429290771484,31.237499237060547,18.667499542236328,41.560001373291016,60.281429290771484,31.237499237060547,18.69700050354004,41.63999938964844,61.547142028808594,30.717500686645508,18.336000442504883,41.279998779296875,59.619998931884766,30.969999313354492,18.518999099731445,41.470001220703125,61.547142028808594,143497200,47082000,35273500,26796000
2015-03-17,28.701431274414062,18.59600067138672,36.757442474365234,59.788570404052734,31.760000228881836,18.59600067138672,41.70000076293945,59.788570404052734,31.829999923706055,18.725000381469727,41.83000183105469,60.69428634643555,31.412500381469727,18.48200035095215,41.150001525878906,59.38428497314453,31.475000381469727,18.555500030517578,41.369998931884766,59.71285629272461,204092400,40740000,31673400,18428200
2015-03-18,29.02449607849121,18.756999969482422,37.462623596191406,60.44571304321289,32.11750030517578,18.756999969482422,42.5,60.44571304321289,32.290000915527344,18.79949951171875,42.83000183105469,60.650001525878906,31.592500686645508,18.334999084472656,41.33000183105469,59.29999923706055,31.75,18.49850082397461,41.43000030517578,59.73857116699219,261083600,53082000,44194800,14634900
2015-03-19,28.80535316467285,18.66200065612793,37.27751159667969,60.744285583496094,31.875,18.66200065612793,42.290000915527344,60.744285583496094,32.3125,18.855499267578125,42.59000015258789,61.211429595947266,31.850000381469727,18.609500885009766,42.220001220703125,60.255714416503906,32.1875,18.693500518798828,42.2599983215332,60.459999084472656,183238000,38314000,33879100,11449900
2015-03-20,28.443864822387695,18.92449951171875,37.79758071899414,61.18571472167969,31.475000381469727,18.92449951171875,42.880001068115234,61.18571472167969,32.099998474121094,18.9685001373291,42.97999954223633,61.78571319580078,31.290000915527344,18.79599952697754,42.4900016784668,60.895713806152344,32.0625,18.81450080871582,42.560001373291016,61.33714294433594,274780400,75272000,71904500,13641600
2015-03-23,28.739835739135742,18.75550079345703,37.77995681762695,60.71428680419922,31.802499771118164,18.75550079345703,42.86000061035156,60.71428680419922,31.962499618530273,19.088499069213867,43.130001068115234,61.15571212768555,31.6299991607666,18.746999740600586,42.779998779296875,60.33000183105469,31.780000686645508,18.903499603271484,42.880001068115234,60.88999938964844,150838800,44786000,26246100,7664300
2015-03-24,28.62234878540039,18.704500198364258,37.815216064453125,62.611427307128906,31.672500610351562,18.704500198364258,42.900001525878906,62.611427307128906,32.0099983215332,18.761999130249023,43.16999816894531,63.09857177734375,31.639999389648438,18.613500595092773,42.75,61.11857223510742,31.8075008392334,18.699499130249023,42.779998779296875,61.13571548461914,131369200,44564000,25513300,16888900
2015-03-25,27.874542236328125,18.54800033569336,36.54588317871094,60.25,30.844999313354492,18.54800033569336,41.459999084472656,60.25,31.704999923706055,19.024999618530273,42.93000030517578,62.691429138183594,30.844999313354492,18.51449966430664,41.439998626708984,60.244285583496094,31.635000228881836,18.758499145507812,42.91999816894531,62.68428421020508,206620800,68590000,43469900,21652400
2015-03-26,28.068832397460938,18.36750030517578,36.32552719116211,59.75143051147461,31.059999465942383,18.36750030517578,41.209999084472656,59.75143051147461,31.219999313354492,18.56999969482422,41.61000061035156,60.4471435546875,30.649999618530273,18.282499313354492,40.91999816894531,59.38999938964844,30.690000534057617,18.47949981689453,41.220001220703125,59.628570556640625,190291600,58600000,37495600,16039100
2015-03-27,27.845170974731445,18.527999877929688,36.11397171020508,59.25285720825195,30.8125,18.527999877929688,40.970001220703125,59.25285720825195,31.174999237060547,18.65850067138672,41.43000030517578,59.84714126586914,30.727500915527344,18.328500747680664,40.83000183105469,58.57285690307617,31.142499923706055,18.355499267578125,41.119998931884766,59.33000183105469,158184800,52196000,34401400,15852200
